FULL NAME,TEAM,POS,AGE
PJ Dozier,Bos,G-F,22.46
Goran Dragic,Mia,G,32.93
Andre Drummond,Det,C,25.67
Jared Dudley,Bro,F,33.75
Kris Dunn,Chi,G,25.07
Kevin Durant,Gol,F,30.53
Trevon Duval,Mil,G,20.69
Vincent Edwards,Hou,F,23.01
Henry Ellenson,Det,F,22.24
Henry Ellenson,Nyk,F,22.24
Wayne Ellington,Mia,G,31.37
Wayne Ellington,Det,G,31.37
Joel Embiid,Phi,F-C,25.07
James Ennis III,Hou,F,28.78
James Ennis III,Phi,F,28.78
Drew Eubanks,San,F,22.19
Jacob Evans,Gol,G,21.81
Jawun Evans,Pho,G,22.71
Jawun Evans,Okc,G,22.71
Tyreke Evans,Ind,G,29.56
Dante Exum,Uta,G,23.75
Kenneth Faried,Bro,F-C,29.39
Kenneth Faried,Hou,F-C,29.39
Derrick Favors,Uta,F-C,27.74
Cristiano Felicio,Chi,F-C,26.76
Raymond Felton,Okc,G,34.79
Terrance Ferguson,Okc,G,20.9
Yogi Ferrell,Sac,G,25.92
Dorian Finney-Smith,Dal,F,25.94
Bryn Forbes,San,G,25.72
Evan Fournier,Orl,G-F,26.45
De'Aaron Fox,Sac,G,21.31
Melvin Frazier Jr.,Orl,G-F,22.61
Tim Frazier,Nor,G,28.44
Tim Frazier,Mil,G,28.44
Jimmer Fredette,Pho,G,30.12
Channing Frye,Cle,F-C,35.9
Markelle Fultz,Phi,G,20.87
Danilo Gallinari,Lac,F,30.67
Langston Galloway,Det,G,27.34
Billy Garrett,Nyk,G,24.49
Marc Gasol,Mem,C,34.2
Marc Gasol,Tor,C,34.2
Pau Gasol,San,C-F,38.76
Pau Gasol,Mil,C-F,38.76
Rudy Gay,San,F,32.65
Paul George,Okc,F,28.94
Taj Gibson,Min,F,33.8
Harry Giles III,Sac,F-C,20.97
Shai Gilgeous-Alexander,Lac,G,20.75
Rudy Gobert,Uta,C,26.79
Brandon Goodwin,Den,G,23.52
Aaron Gordon,Orl,F,23.57
Eric Gordon,Hou,G,30.29
Marcin Gortat,Lac,C,35.15
Devonte' Graham,Cha,G,24.13
Treveon Graham,Bro,F,25.45
Donte Grantham,Okc,F,24.06
Jerami Grant,Okc,F,25.08
Jerian Grant,Orl,G,26.5
Danny Green,Tor,G-F,31.8
Draymond Green,Gol,F,29.1
Gerald Green,Hou,G-F,33.21
JaMychal Green,Mem,F,28.81
JaMychal Green,Lac,F,28.81
Jeff Green,Was,F,32.62
Blake Griffin,Det,F,30.07
Daniel Hamilton,Atl,G-F,23.67
Dusty Hannahs,Mem,G,25.61
Tim Hardaway Jr.,Nyk,G,27.07
Tim Hardaway Jr.,Dal,G,27.07
