FULL NAME,TEAM,POS,AGE
Precious Achiuwa,Mia,F,21.66
Jaylen Adams,Mil,G,25.03
Steven Adams,Nor,C,27.83
Bam Adebayo,Mia,C-F,23.83
LaMarcus Aldridge,San,C-F,35.83
LaMarcus Aldridge,Bro,C-F,35.83
Ty-Shon Alexander,Pho,G,22.84
Nickeil Alexander-Walker,Nor,G,22.7
Grayson Allen,Mem,G,25.61
Jarrett Allen,Bro,C,23.07
Jarrett Allen,Cle,C,23.07
Al-Farouq Aminu,Orl,F,30.65
Al-Farouq Aminu,Chi,F,30.65
Kyle Anderson,Mem,F-G,27.66
Giannis Antetokounmpo,Mil,F,26.44
Kostas Antetokounmpo,Lal,F,23.49
Thanasis Antetokounmpo,Mil,F,28.83
Carmelo Anthony,Por,F,36.97
Cole Anthony,Orl,G,21
OG Anunoby,Tor,F,23.83
Ryan Arcidiacono,Chi,G,27.14
Trevor Ariza,Mia,F,35.88
D.J. Augustin,Mil,G,33.52
D.J. Augustin,Hou,G,33.52
Deni Avdija,Was,F,20.37
Deandre Ayton,Pho,C,22.82
Udoka Azubuike,Uta,C-F,21.66
Dwayne Bacon,Orl,G-F,25.71
Marvin Bagley III,Sac,F,22.18
LaMelo Ball,Cha,G,19.74
Lonzo Ball,Nor,G,23.55
Mo Bamba,Orl,C,23.01
Desmond Bane,Mem,G,22.89
Harrison Barnes,Sac,F,28.96
RJ Barrett,Nyk,F-G,20.92
Will Barton,Den,G,30.36
Keita Bates-Diop,San,F,25.31
Nicolas Batum,Lac,G-F,32.42
Aron Baynes,Tor,C-F,34.44
Kent Bazemore,Gol,G-F,31.88
Darius Bazley,Okc,F-G,20.93
Bradley Beal,Was,G,27.89
Malik Beasley,Min,G,24.47
Jordan Bell,Was,F,26.36
Jordan Bell,Gol,F,26.36
DeAndre' Bembry,Tor,G-F,26.87
Davis Bertans,Was,F,28.51
Patrick Beverley,Lac,G,32.84
Saddiq Bey,Det,F,22.1
Tyler Bey,Dal,F,23.26
Khem Birch,Orl,C,28.63
Khem Birch,Tor,C,28.63
Goga Bitadze,Ind,C-F,21.83
Bismack Biyombo,Cha,C,28.72
Nemanja Bjelica,Sac,F,33.02
Nemanja Bjelica,Mia,F,33.02
Eric Bledsoe,Nor,G,31.44
Keljin Blevins,Por,G,25.48
Bojan Bogdanovic,Uta,F,32.08
Bogdan Bogdanovic,Atl,G,28.74
Bol Bol,Den,C-F,21.5
Marques Bolden,Cle,C,23.08
Jordan Bone,Orl,G,23.53
Isaac Bonga,Was,G,21.52
Devin Booker,Pho,G,24.54
Chris Boucher,Tor,F-C,28.35
Brian Bowen II,Ind,F-G,22.62
Avery Bradley,Mia,G,30.47
Avery Bradley,Hou,G,30.47
Tony Bradley,Phi,C-F,23.35
Tony Bradley,Okc,C-F,23.35
Jarrell Brantley,Uta,F,24.94
Ignas Brazdeikis,Nyk,F,22.35
Ignas Brazdeikis,Phi,F,22.35
Ignas Brazdeikis,Orl,F,22.35
Miles Bridges,Cha,F,23.16
Mikal Bridges,Pho,F,24.71
Amida Brimah,Ind,C,27.26
Oshae Brissett,Ind,F-G,22.91
Malcolm Brogdon,Ind,G,28.43
Armoni Brooks,Hou,G,22.95
Dillon Brooks,Mem,G-F,25.32
Charlie Brown Jr.,Okc,G,23.29
Troy Brown Jr.,Was,G-F,21.8
Troy Brown Jr.,Chi,G-F,21.8
Bruce Brown,Bro,G-F,24.75
Jaylen Brown,Bos,G-F,24.56
Moses Brown,Okc,C,21.59
Sterling Brown,Hou,G-F,26.26
Jalen Brunson,Dal,G,24.71
Elijah Bryant,Mil,G,20
Thomas Bryant,Was,C-F,23.8
Reggie Bullock,Nyk,G-F,30.17
Trey Burke,Dal,G,28.51
Alec Burks,Nyk,G,29.83
Jimmy Butler,Mia,F,31.67
Bruno Caboclo,Hou,F,25.65
Devontae Cacok,Lal,F,24.6
Kentavious Caldwell-Pope,Lal,G,28.24
Facundo Campazzo,Den,G,30.15
Vlatko Cancar,Den,F,24.1
Devin Cannady,Orl,G,24.99
Clint Capela,Atl,C,27
Vernon Carey Jr.,Cha,F-C,20.22
Wendell Carter Jr.,Chi,C-F,22.09
Wendell Carter Jr.,Orl,C-F,22.09
Jevon Carter,Pho,G,25.67
Michael Carter-Williams,Orl,G,29.6
Alex Caruso,Lal,G,27.21
Willie Cauley-Stein,Dal,C,27.75
Chris Chiozza,Bro,G,25.49
Marquese Chriss,Gol,F,23.87
Brandon Clarke,Mem,F-G,24.66
Gary Clark,Orl,F,26.5
Gary Clark,Den,F,26.5
Gary Clark,Phi,F,26.5
Jordan Clarkson,Uta,G,28.94
Nicolas Claxton,Bro,F-C,22.08
Amir Coffey,Lac,G-F,23.92
John Collins,Atl,F-C,23.65
Mike Conley,Uta,G,33.6
Pat Connaughton,Mil,G,28.36
Quinn Cook,Lal,G,28.15
