FULL NAME,TEAM,POS,AGE
Steven Adams,Okc,C,27.07
Bam Adebayo,Mia,C-F,23.08
LaMarcus Aldridge,San,F-C,35.07
Kyle Alexander,Mia,F-C,23.81
Nickeil Alexander-Walker,Nor,G,21.95
Grayson Allen,Mem,G,24.85
Jarrett Allen,Bro,C,22.32
Kadeem Allen,Nyk,G,27.58
Al-Farouq Aminu,Orl,F,29.9
Justin Anderson,Bro,F-G,26.74
Kyle Anderson,Mem,F-G,26.9
Ryan Anderson,Hou,F,32.27
Giannis Antetokounmpo,Mil,F,25.69
Kostas Antetokounmpo,Lal,F,22.74
Thanasis Antetokounmpo,Mil,F,28.08
Carmelo Anthony,Por,F,36.21
OG Anunoby,Tor,F,23.08
Ryan Arcidiacono,Chi,G,26.39
Trevor Ariza,Sac,F,35.13
Trevor Ariza,Por,F,35.13
D.J. Augustin,Orl,G,32.76
Deandre Ayton,Pho,C,22.06
Dwayne Bacon,Cha,G-F,24.96
Marvin Bagley III,Sac,F,21.42
Lonzo Ball,Nor,G,22.8
Mo Bamba,Orl,C,22.26
J.J. Barea,Dal,G,36.13
Harrison Barnes,Sac,F,28.21
RJ Barrett,Nyk,F-G,20.17
Will Barton,Den,G,29.61
Keita Bates-Diop,Min,F,24.56
Keita Bates-Diop,Den,F,24.56
Nicolas Batum,Cha,G-F,31.67
Aron Baynes,Pho,C-F,33.68
Kent Bazemore,Por,G-F,31.12
Kent Bazemore,Sac,G-F,31.12
Darius Bazley,Okc,F-G,20.17
Bradley Beal,Was,G,27.13
Malik Beasley,Den,G,23.72
Malik Beasley,Min,G,23.72
Marco Belinelli,San,G,34.39
Jordan Bell,Min,F,25.6
Jordan Bell,Mem,F,25.6
DeAndre' Bembry,Atl,G-F,26.12
Dragan Bender,Mil,F,22.74
Dragan Bender,Gol,F,22.74
Davis Bertans,Was,F,27.75
Patrick Beverley,Lac,G,32.09
Khem Birch,Orl,C,27.88
Goga Bitadze,Ind,C-F,21.07
Bismack Biyombo,Cha,C,27.96
Nemanja Bjelica,Sac,F,32.27
Eric Bledsoe,Mil,G,30.68
Bojan Bogdanovic,Uta,F,31.33
Bogdan Bogdanovic,Sac,G,27.99
Bol Bol,Den,C-F,20.75
Jonah Bolden,Phi,F,24.62
