Player,height,weight,collage
Sonny Dove,201,89,St. John's University
Ron Filipek,196,92,Tennessee Technological University
Jim Fox,208,104,University of South Carolina
Walt Frazier*,193,90,Southern Illinois University
Mal Graham,185,83,New York University
Gary Gray,185,83,Oklahoma City University
Dennis Hamilton,203,95,Arizona State University
Clem Haskins,190,88,Western Kentucky University
Al Jackson,185,83,Wilberforce University
Phil Jackson*,203,99,University of North Dakota
Johnny Jones,201,92,"California State University, Los Angeles"
Nick Jones,188,86,University of Oregon
Dave Lattin,198,102,University of Texas at El Paso
George Lehmann,183,81,Campbell University
Bobby Lewis,190,79,University of North Carolina
Paul Long,188,81,Wake Forest University
Plummer Lott,196,95,Seattle University
Ed Manning,201,95,Jackson State University
Stan McKenzie,196,88,New York University
Jay Miller,196,92,University of Notre Dame
Earl Monroe*,190,83,Winston-Salem State University
George Patterson,203,104,University of Toledo
Jim Reid,198,95,Winston-Salem State University
Pat Riley*,193,92,University of Kentucky
Bob Rule,206,99,Colorado State University
Craig Spitzer,213,102,Tulane University
Al Tucker,203,86,Oklahoma Baptist University
Bill Turner,201,99,University of Akron
Jimmy Walker,190,88,Providence College
Rick Weitzman,188,79,Northeastern University
Roland West,193,80,University of Cincinnati
John Wetzel,196,86,Virginia Polytechnic Institute and State University
Ken Wilburn,198,88,Central State University
Art Williams,185,81,"California State Polytechnic University, Pomona"
Tom Workman,201,98,Seattle University
Zaid Abdul-Aziz,206,106,Iowa State University
Rick Adelman,185,79,Loyola Marymount University
Bob Allen,206,92,Marshall University
Harry Barnes,190,92,Northeastern University
Ed Biedenbach,185,79,North Carolina State University
Tom Boerwinkle,213,120,University of Tennessee
Jay Carty,203,99,Oregon State University
Don Chaney,196,95,University of Houston
Dick Cunningham,208,111,Murray State University
Fred Foster,196,95,Miami University
Pat Frink,193,88,University of Colorado
Gary Gregor,201,102,University of South Carolina
Al Hairston,185,77,Bowling Green State University
Shaler Halimon,196,90,Utah State University
Skip Harlicka,185,83,University of South Carolina
Art Harris,193,83,Stanford University
Elvin Hayes*,206,106,University of Houston
Bill Hewitt,201,95,University of Southern California
Bill Hosket,203,102,Ohio State University
Rich Johnson,201,95,Grambling State University
Bob Kauffman,203,108,Guilford College
Joe Kennedy,198,95,Duke University
Rod Knowles,206,97,Davidson College
Stu Lantz,190,79,University of Nebraska
Don May,193,90,University of Dayton
Otto Moore,211,92,University of Texas-Pan American
Dave Newmark,213,108,Columbia University
Rich Niemann,213,111,Saint Louis University
Barry Orms,190,86,Saint Louis University
Charlie Paulk,203,99,Northeastern State University
Loy Petersen,196,92,Oregon State University
Bob Quick,196,97,Xavier University
Craig Raymond,211,106,Brigham Young University
Mike Riordan,193,90,Providence College
Dale Schlueter,208,102,Colorado State University
Doug Sims,201,88,Kent State University
Greg Smith,196,88,Western Kentucky University
John Trapp,201,95,"University of Nevada, Las Vegas"
Wes Unseld*,201,111,University of Louisville
Dwight Waller,198,99,Tennessee State University
Cliff Williams,190,81,Bowling Green State University
Ron Williams,190,85,West Virginia University
Sam Williams,190,81,University of Iowa
Kareem Abdul-Jabbar*,218,102,"University of California, Los Angeles"
Lucius Allen,188,79,"University of California, Los Angeles"
Wally Anderzunas,201,99,Creighton University
John Arthurs,193,83,Tulane University
Johnny Baum,196,90,Temple University
Butch Beard,190,83,University of Louisville
Fred Carter,190,83,Mount St. Mary's University
Bob Dandridge,198,88,Norfolk State University
Mike Davis,190,83,Virginia Union University
Dick Garrett,190,83,Southern Illinois University
Herm Gilliam,190,86,Purdue University
Bob Greacen,201,93,Rutgers University
Lamar Green,201,95,Morehead State University
Connie Hawkins*,203,95,University of Iowa
Brian Heaney,188,81,Acadia University
Steve Kuberski,203,97,Bradley University
Mike Lynn,201,97,"University of California, Los Angeles"
Willie McCarter,190,79,Drake University
Steve Mix,201,97,University of Toledo
Grady O'Malley,196,92,Manhattan College
Bud Ogden,198,97,Santa Clara University
Bob Portman,196,90,Creighton University
Luther Rackley,208,99,Xavier University
George Reynolds,193,88,University of Houston
Rick Roberson,206,104,University of Cincinnati
Dave Scholz,203,99,University of Illinois at Urbana-Champaign
Bingo Smith,196,86,Saint Peter's College
Norm Van,196,86,
Neal Walk,208,99,University of Florida
John Warren,190,81,St. John's University
Jo Jo,190,81,
Bernie Williams,190,79,La Salle University
Lee Winfield,188,78,University of North Texas
Don Adams,198,95,Northwestern University
Tiny Archibald*,185,68,University of Texas at El Paso
Bob Arnzen,196,92,University of Notre Dame
Dennis Awtrey,208,106,Santa Clara University
Moe Barr,193,88,Duquesne University
Tom Black,208,99,South Dakota State University
Bob Christian,208,115,Grambling State University
Jimmy Collins,188,79,New Mexico State University
Joe Cooke,190,79,Indiana University
Dave Cowens*,206,104,Florida State University
Pete Cross,206,104,University of San Francisco
Terry Driscoll,201,97,Boston College
Claude English,193,83,University of Rhode Island
Greg Fillmore,216,108,Cheyney University of Pennsylvania
Levi Fontaine,193,86,University of Maryland Eastern Shore
Jake Ford,190,81,University of Maryland Eastern Shore
Gary Freeman,206,95,Oregon State University
Walt Gilmore,198,102,Fort Valley State University
Spencer Haywood*,203,102,University of Detroit Mercy
Gar Heard,198,99,University of Oklahoma
Al Henry,206,86,University of Wisconsin
A.W. Holt,206,86,
Greg Howard,206,97,University of New Mexico
John Hummer,206,104,Princeton University
Greg Hyder,198,97,Eastern New Mexico University
George Johnson,211,111,Stephen F. Austin State University
John Johnson,201,90,University of Iowa
Earnie Killum,190,81,Stetson University
Ron Knight,201,97,"California State University, Los Angeles"
Sam Lacey,208,106,New Mexico State University
Bob Lanier*,211,113,St. Bonaventure University
Pete Maravich*,196,89,Louisiana State University
Harvey Marlatt,190,83,Eastern Michigan University
Eddie Mast,206,99,Temple University
Jim McMillian,196,97,Columbia University
Larry Mikan,201,95,University of Minnesota
Rex Morgan,196,86,Jacksonville University
Calvin Murphy*,175,74,Niagara University
Ralph Ogden,196,92,Santa Clara University
Curtis Perry,201,99,Missouri State University
Geoff Petrie,193,86,Princeton University
Mike Price,190,90,University of Illinois at Urbana-Champaign
Bob Riley,206,106,Mount St. Mary's University
Paul Ruffner,208,102,Brigham Young University
Mike Silliman,198,102,United States Military Academy
Garfield Smith,206,106,Eastern Kentucky University
Dave Sorenson,203,102,Ohio State University
Dennis Stewart,198,99,University of Michigan
Bill Stricker,206,95,University of the Pacific
Gary Suiter,206,102,Midwestern State University
Fred Taylor,196,81,University of Texas-Pan American
Joe Thomas,198,92,Marquette University
Rudy Tomjanovich,203,98,University of Michigan
John Vallely,190,83,"University of California, Los Angeles"
Cornell Warner,206,99,Jackson State University
Bobby Washington,180,79,Eastern Kentucky University
Jeff Webb,193,77,Kansas State University
Herb White,188,88,University of Georgia
Milt Williams,188,82,Lincoln University of Missouri
Willie Williams,201,90,Florida State University
Marv Winkler,185,74,University of Louisiana at Lafayette
Gary Zeller,190,92,Drake University
Bill Zopf,185,77,Duquesne University
Odis Allison,198,88,"University of Nevada, Las Vegas"
Vic Bartolome,213,104,Oregon State University
Fred Brown,190,82,University of Iowa
Austin Carr,193,90,University of Notre Dame
Sid Catlett,198,104,University of Notre Dame
Phil Chenier,190,81,University of California
Jim Cleamons,190,83,Ohio State University
Charlie Davis,188,72,Wake Forest University
Jackie Dinkins,196,95,Voorhees College
Ken Durrett,201,86,La Salle University
Dick Gibbs,196,95,University of Texas at El Paso
Clarence Glover,203,95,Western Kentucky University
Jeff Halliburton,196,87,Drake University
Fred Hilton,190,83,Grambling State University
Jake Jones,190,81,Assumption College
Mo Layton,185,81,University of Southern California
Stan Love,206,97,University of Oregon
Charlie Lowery,190,83,University of Puget Sound
Jim Marsh,201,97,University of Southern California
Jim McDaniels,211,103,Western Kentucky University
Gil McGregor,203,108,Wake Forest University
Kenny McIntosh,201,102,Eastern Michigan University
Cliff Meely,203,97,University of Colorado
Dean Meminger,183,79,Marquette University
John Mengelt,188,88,Auburn University
Barry Nelson,208,104,Duquesne University
Mike Newlin,193,90,University of Utah
Willie Norwood,201,99,Alcorn State University
Steve Patterson,206,102,"University of California, Los Angeles"
Tom Payne,218,108,University of Kentucky
Howard Porter,203,99,Villanova University
Clifford Ray,206,104,University of Oklahoma
Jackie Ridgle,193,88,University of California
Rich Rinaldi,190,88,Saint Peter's College
Curtis Rowe,201,102,"University of California, Los Angeles"
Charlie Scott,196,79,University of North Carolina
Elmore Smith,213,113,Kentucky State University
Randy Smith,190,81,State University of New York College at Buffalo
William Smith,213,99,Syracuse University
Larry Steele,196,81,University of Kentucky
George Trapp,203,92,"California State University, Long Beach"
Sidney Wicks,203,102,"University of California, Los Angeles"
Nate Williams,196,97,Utah State University
Isaiah Wilson,188,79,University of Baltimore
Dave Wohl,188,83,University of Pennsylvania
Barry Yates,201,97,University of Maryland
Charlie Yelverton,188,86,Fordham University
Henry Bibby,185,83,"University of California, Los Angeles"
Freddie Boyd,188,81,Oregon State University
Steve Bracey,185,79,University of Tulsa
John Brisker,196,95,University of Toledo
Roger Brown,196,92,University of Dayton
Corky Calhoun,201,95,University of Pennsylvania
Bob Davis,201,97,Weber State University
Dwight Davis,203,99,University of Houston
Mickey Davis,190,83,Virginia Union University
Charles Dudley,188,81,University of Washington
Scott English,198,92,University of Texas at El Paso
Chris Ford,196,86,Villanova University
Harold Fox,188,79,Jacksonville University
Rowland Garrett,198,95,Florida State University
John Gianelli,208,99,University of the Pacific
Travis Grant,201,97,Kentucky State University
Luther Green,201,86,Long Island University
Charles Johnson,183,77,University of California
Ollie Johnson,198,90,Temple University
Manny Leaks,203,102,Niagara University
Russ Lee,196,83,Marshall University
LaRue Martin,211,94,Loyola University of Chicago
Bob McAdoo*,206,95,University of North Carolina
Paul McCracken,193,81,"California State University, Northridge"
Eric McWilliams,203,90,"California State University, Long Beach"
Mark Minor,198,97,Ohio State University
Bob Nash,203,88,University of Hawaii
Lloyd Neal,201,102,Tennessee State University
Tom Patterson,198,99,Ouachita Baptist University
Kevin Porter,183,77,Saint Francis University
Jim Price,190,88,University of Louisville
Mike Ratliff,208,104,University of Wisconsin-Eau Claire
Tom Riker,208,102,University of South Carolina
Ron Riley,203,88,University of Southern California
Frank Russell,190,81,University of Detroit Mercy
Frank Schade,185,77,University of Wisconsin-Eau Claire
Sam Sibert,201,97,Kentucky State University
Bud Stallworth,196,86,University of Kansas
Paul Stovall,193,97,Arizona State University
Chuck Terry,198,97,"California State University, Long Beach"
Justus Thigpen,185,72,Weber State University
John Tschogl,198,93,"University of California, Santa Barbara"
Paul Westphal,193,88,University of Southern California
Harthorne Wingo,198,95,Friendship Junior College
Joby Wright,203,99,Indiana University
Mike Bantom,206,90,Saint Joseph's University
Ron Behagen,206,83,University of Minnesota
Dennis Bell,196,83,Drake University
Jim Brewer,206,95,University of Minnesota
Allan Bristow,201,95,Virginia Polytechnic Institute and State University
John Brown,201,99,University of Missouri
Larry Cannon,193,88,La Salle University
Bill Chamberlain,198,85,University of North Carolina
Ken Charles,190,81,Fordham University
E.C. Coleman,190,81,
Doug Collins,198,81,Illinois State University
Mike D'Antoni,190,83,Marshall University
Mel Davis,198,99,St. John's University
Derrek Dickey,201,98,University of Cincinnati
Ernie DiGregorio,183,81,Providence College
Steve Downing,203,102,Indiana University
Rod Freeman,201,102,Vanderbilt University
Bernie Fryer,190,83,Brigham Young University
Jim Garvin,201,90,Boston University
Phil Hankinson,203,88,University of Pennsylvania
Nate Hawthorne,193,86,Southern Illinois University
Tom Ingelsby,190,81,Villanova University
Dwight Jones,208,95,University of Houston
Ben Kelso,190,88,Central Michigan University
Tom Kozelko,203,99,University of Toledo
Kevin Kunnert,213,104,University of Iowa
Mike Macaluso,196,95,Canisius College
Ted Manakas,188,81,Princeton University
Vester Marshall,201,90,University of Oklahoma
Allie McGuire,188,81,St. John's University
Larry McNeill,206,88,Marquette University
Gary Melchionni,188,83,Duke University
Louie Nelson,190,86,University of Washington
Jim Owens,196,90,Arizona State University
Ed Ratleff,198,88,"California State University, Long Beach"
Joe Reaves,196,95,Bethel College
Mark Sibley,188,79,Northwestern University
Bob Verga,185,86,Duke University
Kermit Washington,203,104,American University
Slick Watts,185,79,Xavier University of Louisiana
Nick Weatherspoon,201,88,University of Illinois at Urbana-Champaign
Luke Witte,213,106,Ohio State University
Dan Anderson,208,104,Augsburg College
Jim Ard,203,97,University of Cincinnati
Gus Bailey,196,83,University of Texas at El Paso
Leon Benbow,193,83,Jacksonville University
Ken Boyd,196,88,Boston University
Gary Brokaw,193,80,University of Notre Dame
Tom Burleson,218,102,North Carolina State University
Harvey Catchings,206,98,Hardin-Simmons University
Jim Chones,211,99,Marquette University
Ben Clyde,201,89,Florida State University
Jesse Dark,196,95,Virginia Commonwealth University
Rod Derline,183,79,Seattle University
John Drew,198,92,Gardner-Webb University
Dennis DuVal,190,79,Syracuse University
Al Eberhard,198,102,University of Missouri
Leonard Gray,203,108,"California State University, Long Beach"
Bernie Harris,208,90,Virginia Commonwealth University
Steve Hawes,206,99,University of Washington
Tom Henderson,190,86,University of Hawaii
Greg Jackson,183,81,Guilford College
Wardell Jackson,201,90,Ohio State University
Aaron James,203,95,Grambling State University
Mickey Johnson,208,86,Aurora University
Jimmy Jones,193,85,Grambling State University
Frank Kendrick,198,89,Purdue University
Len Kosmalski,213,111,University of Tennessee
Bill Ligon,193,81,Vanderbilt University
Phil Lumpkin,183,74,Miami University
Glenn McDonald,198,86,"California State University, Long Beach"
Eric Money,183,77,University of Arizona
Connie Norman,190,79,University of Arizona
Kevin Restani,206,102,University of San Francisco
Truck Robinson,201,102,Tennessee State University
Campy Russell,196,98,University of Michigan
Fred Saunders,201,95,Syracuse University
Tal Skinner,196,88,University of Maryland Eastern Shore
Don Smith,188,86,University of Minnesota
Phil Smith,193,83,University of San Francisco
Mike Sojourner,206,102,University of Utah
Kevin Stacom,190,83,Providence College
George Thompson,188,90,Marquette University
Dean Tolson,203,86,University of Arkansas
Foots Walker,183,83,State University of West Georgia
Bill Walton*,211,95,"University of California, Los Angeles"
Perry Warbington,188,74,Georgia Southern University
Stan Washington,193,86,University of San Diego
Scott Wedman,201,97,University of Colorado
Owen Wells,201,90,University of Detroit Mercy
Jamaal Wilkes*,198,86,"University of California, Los Angeles"
Earl Williams,201,104,Winston-Salem State University
Bobby Wilson,193,83,West Virginia State University
Brian Winters,193,83,University of South Carolina
Alvan Adams,206,95,University of Oklahoma
Jerome Anderson,196,88,West Virginia University
Jerry Baskerville,201,86,Temple University
Bob Bigelow,201,97,University of Pennsylvania
Tom Boswell,206,99,University of South Carolina
Junior Bridgeman,196,95,University of Louisville
Joe Bryant,206,83,La Salle University
Al Carlson,211,106,University of Oregon
Jim Creighton,203,90,University of Colorado
Darryl Dawkins,211,113,
Henry Dickerson,193,86,University of Charleston
Eric Fernsten,208,92,University of San Francisco
Larry Fogle,196,92,Canisius College
Don Ford,206,97,"University of California, Santa Barbara"
World B.,206,97,
Donnie Freeman,190,83,University of Illinois at Urbana-Champaign
Kevin Grevey,196,95,University of Kentucky
Bob Gross,198,90,"California State University, Long Beach"
Lindsay Hairston,201,81,Michigan State University
Glenn Hansen,193,92,Louisiana State University
Robert Hawkins,193,86,Illinois State University
Wilbur Holland,183,79,University of New Orleans
Lionel Hollins,190,83,Arizona State University
Steve Jones,196,92,University of Oregon
Rich Kelley,213,106,Stanford University
Tom Kropp,190,92,University of Nebraska at Kearney
C.J. Kupec,190,92,
John Lambert,208,102,University of Southern California
John Laskowski,198,83,Indiana University
Greg Lee,190,86,"University of California, Los Angeles"
Clyde Mayes,203,102,Furman University
Ken Mayfield,188,83,Tuskegee University
Jim McElroy,190,86,Central Michigan University
George McGinnis,203,106,Indiana University
Tom McMillen,211,97,University of Maryland
Joe Meriweather,208,97,Southern Illinois University
Dave Meyers,203,97,"University of California, Los Angeles"
Frank Oleynick,188,83,Seattle University
Cliff Pondexter,206,105,"California State University, Long Beach"
Bill Robinzine,201,104,DePaul University
John Roche,190,77,University of South Carolina
Bruce Seals,203,95,Xavier University of Louisiana
Ed Searcy,198,95,St. John's University
Gene Short,198,90,Jackson State University
John Shumate,206,106,University of Notre Dame
Ricky Sobers,190,89,"University of Nevada, Las Vegas"
Terry Thomas,203,99,University of Detroit Mercy
Rudy White,188,88,Arizona State University
Gus Williams,188,79,University of Southern California
Bill Willoughby,203,92,
Tom Abernethy,201,99,Indiana University
Bird Averitt,185,77,Pepperdine University
Tom Barker,211,102,University of Hawaii
Marvin Barnes,203,95,Providence College
Norton Barnhill,193,92,Washington State University
Mike Barr,190,81,Duquesne University
Tim Bassett,203,102,University of Georgia
Byron Beck,206,102,University of Denver
Mel Bennett,201,90,University of Pittsburgh
Ron Boone,188,90,Idaho State University
Quinn Buckner,190,86,Indiana University
Ticky Burden,188,83,University of Utah
Don Buse,193,86,University of Evansville
Mack Calvin,183,74,University of Southern California
M.L. Carr,183,74,
Cornelius Cash,203,97,Bowling Green State University
Norm Cook,203,95,University of Kansas
Louie Dampier*,183,77,University of Kentucky
Mel Daniels*,206,99,University of New Mexico
Adrian Dantley*,196,94,University of Notre Dame
Johnny Davis,188,77,University of Dayton
Ron Davis,198,89,Washington State University
Randy Denton,208,108,Duke University
Coby Dietrick,208,99,San Jose State University
Leon Douglas,208,104,University of Alabama
Mike Dunleavy,190,81,University of South Carolina
Jim Eakins,211,97,Brigham Young University
Len Elmore,206,99,University of Maryland
Darrell Elston,193,86,University of North Carolina
Alex English*,201,86,University of South Carolina
Julius Erving*,201,95,University of Massachusetts Amherst
Butch Feher,193,83,Vanderbilt University
Mike Flynn,188,81,University of Kentucky
Terry Furlow,193,86,Michigan State University
Mike Gale,193,83,Elizabeth City State University
Gus Gerard,203,90,University of Virginia
George Gervin*,201,81,Eastern Michigan University
Artis Gilmore*,218,108,Jacksonville University
Mike Green,208,90,Louisiana Tech University
Steve Green,201,99,Indiana University
Paul Griffin,206,92,Western Michigan University
Rudy Hackett,206,95,Syracuse University
Phil Hicks,201,92,Tulane University
Armond Hill,193,86,Princeton University
Darnell Hillman,206,97,San Jose State University
Mo Howard,188,77,University of Maryland
Kim Hughes,211,99,University of Wisconsin
Dan Issel*,206,106,University of Kentucky
Dennis Johnson*,193,83,Pepperdine University
Bobby Jones,206,95,University of North Carolina
Caldwell Jones,211,98,Albany State University
Rich Jones,198,99,University of Memphis
Robin Jones,206,102,Saint Louis University
Wil Jones,190,83,Northwestern University
George Karl,190,83,University of North Carolina
Goo Kennedy,196,92,Texas Christian University
Larry Kenon,206,92,University of Memphis
Billy Knight,198,88,University of Pittsburgh
Mitch Kupchak,206,104,University of North Carolina
Bo Lamar,185,81,University of Louisiana at Lafayette
Ron Lee,193,87,University of Oregon
Scott Lloyd,208,104,Arizona State University
John Lucas,190,79,University of Maryland
Maurice Lucas,206,97,Marquette University
Moses Malone*,208,97,
Scott May,201,97,Indiana University
Andre McCarter,190,86,"University of California, Los Angeles"
Ted McClain,185,81,Tennessee State University
Allen Murphy,196,86,University of Louisville
Swen Nater,211,108,"University of California, Los Angeles"
Johnny Neumann,198,90,University of Mississippi
Mark Olberding,203,102,University of Minnesota
Tom Owens,208,97,University of South Carolina
Joe Pace,208,99,Coppin State University
Robert Parish*,213,104,Centenary College of Louisiana
Sonny Parker,198,90,Texas A&M University
Billy Paultz,211,106,St. John's University
Marv Roberts,203,90,Utah State University
Dave Robisch,208,106,University of Kansas
Marshall Rogers,185,86,University of Texas-Pan American
Dan Roundfield,203,92,Central Michigan University
Phil Sellers,193,88,Rutgers University
Lonnie Shelton,203,108,Oregon State University
James Silas,185,81,Stephen F. Austin State University
Ralph Simpson,196,90,Michigan State University
Al Skinner,190,86,University of Massachusetts Amherst
Willie Smith,213,99,Syracuse University
Keith Starr,198,86,University of Pittsburgh
Earl Tatum,196,83,Marquette University
Brian Taylor,188,83,Princeton University
Fatty Taylor,183,79,La Salle University
Ira Terrell,203,90,Southern Methodist University
Claude Terry,193,88,Stanford University
David Thompson*,193,88,North Carolina State University
Monte Towe,170,68,North Carolina State University
Dave Twardzik,185,79,Old Dominion University
Jan Van,185,79,
Andy Walker,193,86,Niagara University
Wally Walker,201,86,University of Virginia
Lloyd Walton,183,72,Marquette University
Henry Ward,193,88,Jackson State University
Richard Washington,211,99,"University of California, Los Angeles"
Marvin Webster,216,102,Morgan State University
Bob Wilkerson,198,88,Indiana University
Chuck Williams,183,74,Seattle University
Chuckie Williams,183,74,Seattle University
John Williamson,188,83,New Mexico State University
Willie Wise,196,95,Drake University
Larry Wright,185,72,Grambling State University
Tate Armstrong,190,79,Duke University
Greg Ballard,201,97,University of Oregon
Kent Benson,208,106,Indiana University
Otis Birdsong,190,86,University of Houston
Phil Bond,188,79,University of Louisville
Jim Bostic,201,102,New Mexico State University
Alonzo Bradley,198,86,Texas Southern University
Mike Bratz,188,83,Stanford University
Wayman Britt,188,83,University of Michigan
Kenny Carr,201,99,North Carolina State University
Bob Carrington,198,88,Boston College
Wesley Cox,198,97,University of Louisville
Charlie Criss,173,74,New Mexico State University
Mark Crow,201,95,Duke University
Brad Davis,190,81,University of Maryland
Walter Davis,203,92,Texas A&M University
Jacky Dorsey,201,104,University of Georgia
T.R. Dunn,201,104,
James Edwards,213,102,University of Washington
Bo Ellis,196,83,Niagara University
Al Fleming,201,97,University of Arizona
Bayard Forrest,208,106,Grand Canyon University
Mike Glenn,188,79,Southern Illinois University
Glen Gondrezick,198,98,"University of Nevada, Las Vegas"
Rickey Green,183,77,University of Michigan
Greg Griffin,201,86,Idaho State University
Ernie Grunfeld,198,95,University of Tennessee
Joe Hassett,196,81,Providence College
Eddie Johnson,203,92,Tennessee State University
Larry Johnson,190,92,University of Kentucky
Marques Johnson,201,98,"University of California, Los Angeles"
Eddie Jordan,185,77,Rutgers University
Bernard King*,201,92,University of Tennessee
Toby Knight,206,95,University of Notre Dame
John Kuester,188,81,University of North Carolina
Tom LaGarde,208,99,University of North Carolina
Mark Landsberger,203,97,Arizona State University
Rich Laurel,198,86,Hofstra University
Ricky Marsh,190,90,Manhattan College
Cedric Maxwell,203,92,University of North Carolina at Charlotte
Larry Moffett,203,95,"University of Nevada, Las Vegas"
Glenn Mosley,203,88,Seton Hall University
Norm Nixon,188,77,Duquesne University
Eddie Owens,201,95,"University of Nevada, Las Vegas"
Ben Poquette,206,106,Central Michigan University
Robert Reid,203,92,St. Mary's University
Anthony Roberts,196,83,Oral Roberts University
Tony Robertson,193,88,West Virginia University
Tree Rollins,216,106,Clemson University
Alvin Scott,201,83,Oral Roberts University
Steve Sheppard,198,97,University of Maryland
Jack Sikma,211,104,Illinois Wesleyan University
Scott Sims,185,77,University of Missouri
Robert Smith,180,74,"University of Nevada, Las Vegas"
Phil Walker,190,81,Millersville University of Pennsylvania
Wilson Washington,206,102,Old Dominion University
Ray Williams,190,85,University of Minnesota
Kim Anderson,201,90,University of Missouri
Del Beshore,180,74,California University of Pennslyvania
Dennis Boyd,185,79,University of Detroit Mercy
Winford Boynes,198,83,University of San Francisco
Ron Brewer,193,81,University of Arkansas
Greg Bunch,198,86,"California State University, Fullerton"
Marty Byrnes,201,97,Syracuse University
Ron Carter,196,86,Virginia Military Institute
Maurice Cheeks,185,81,West Texas A&M University
Michael Cooper,196,77,University of New Mexico
Wayne Cooper,208,99,University of New Orleans
Dave Corzine,211,113,DePaul University
Geoff Crompton,211,127,University of North Carolina
Harry Davis,201,99,Florida State University
Bob Elliott,206,102,University of Arizona
Ray Epps,198,88,Norfolk State University
Phil Ford,188,79,University of North Carolina
Jack Givens,196,92,University of Kentucky
Tommie Green,188,83,Southern University and A&M College
Lars Hansen,208,102,University of Washington
James Hardy,203,99,University of San Francisco
Keith Herron,198,88,Villanova University
Kenny Higgs,183,81,Louisiana State University
Essie Hollis,198,88,St. Bonaventure University
Otis Howard,201,99,Austin Peay State University
Clemon Johnson,208,108,Florida Agricultural and Mechanical University
Jeff Judkins,198,83,University of Utah
Joel Kramer,201,92,San Diego State University
Butch Lee,183,83,Marquette University
John Long,196,88,University of Detroit Mercy
Billy McKinney,183,72,Northwestern University
Mike Mitchell,201,97,Auburn University
John Olive,201,95,Villanova University
Roger Phegley,198,92,Bradley University
Stan Pietkiewicz,196,90,Auburn University
Wayne Radford,190,92,Indiana University
Marlon Redmond,198,85,University of San Francisco
Micheal Ray,198,85,
Rick Robey,211,104,University of Kentucky
Jackie Robinson,198,95,"University of Nevada, Las Vegas"
John Rudd,201,104,McNeese State University
Frankie Sanders,198,90,Southern University and A&M College
Purvis Short,201,95,Jackson State University
Sam Smith,201,104,Kentucky Wesleyan College
Reggie Theus,201,86,"University of Nevada, Las Vegas"
Mychal Thompson,208,102,University of Minnesota
Raymond Townsend,190,79,"University of California, Los Angeles"
Terry Tyler,201,97,University of Detroit Mercy
Andre Wakefield,190,79,Loyola University of Chicago
Jerome Whitehead,208,99,Marquette University
Freeman Williams,193,86,Portland State University
Rick Wilson,196,90,University of Louisville
James Bailey,206,99,Rutgers University
Billy Ray,206,99,
Larry Bird*,206,99,Indiana State University
Lawrence Boston,203,102,University of Maryland
Dudley Bradley,198,88,University of North Carolina
Bill Cartwright,216,111,University of San Francisco
Jeff Cook,208,97,Idaho State University
Hollis Copeland,198,81,Rutgers University
John Coughran,201,102,University of California
Terry Crosby,193,88,University of Tennessee
Pat Cummings,206,104,University of Cincinnati
Paul Dawkins,196,86,Northern Illinois University
Greg Deane,193,86,University of Utah
Larry Demic,206,102,University of Arizona
Terry Duerod,188,81,University of Detroit Mercy
Earl Evans,203,91,"University of Nevada, Las Vegas"
Mike Evans,185,77,Kansas State University
Gary Garland,193,81,DePaul University
Dave Greenwood,206,100,"University of California, Los Angeles"
Roy Hamilton,188,81,"University of California, Los Angeles"
Gerald Henderson,188,79,Virginia Commonwealth University
Johnny High,190,83,"University of Nevada, Reno"
Brad Holland,190,81,"University of California, Los Angeles"
Phil Hubbard,203,97,University of Michigan
Geoff Huston,188,79,Texas Tech University
Abdul Jeelani,203,95,University of Wisconsin-Parkside
Cheese Johnson,183,77,University of California
Magic Johnson*,201,98,"University of California, Los Angeles"
Vinnie Johnson,188,90,Baylor University
Major Jones,206,102,Albany State University
Greg Kelser,201,86,Michigan State University
Irv Kiffin,206,102,Oklahoma Baptist University
Carl Kilpatrick,208,104,University of Louisiana at Monroe
Reggie King,198,102,University of Alabama
Arvid Kramer,206,99,Augustana College (SD)
Allen Leavell,185,77,Oklahoma City University
Ollie Mack,190,83,East Carolina University
Steve Malovic,208,104,San Diego State University
Paul Mokeski,213,113,University of Kansas
Sidney Moncrief,190,81,University of Arkansas
Calvin Natt,198,99,University of Louisiana at Monroe
Sylvester Norris,211,99,Jackson State University
Wiley Peck,201,99,Mississippi State University
Sam Pellom,206,102,"University at Buffalo, State University of New York"
Clint Richardson,190,88,Seattle University
Cliff Robinson,206,99,University of Southern California
Jim Spanarkel,196,86,Duke University
Bernard Toone,206,95,Marquette University
Duck Williams,188,81,University of Notre Dame
Sly Williams,201,95,University of Rhode Island
Bubba Wilson,190,79,Western Carolina University
Tony Zeno,203,95,Arizona State University
Darrell Allums,206,99,"University of California, Los Angeles"
Norman Black,196,83,Saint Joseph's University
Dave Britton,193,81,Texas A&M University
Michael Brooks,201,99,La Salle University
Lewis Brown,190,86,University of Wyoming
Rickey Brown,208,97,Mississippi State University
Joe Barry,193,88,Georgia Institute of Technology
Butch Carter,196,81,Indiana University
Reggie Carter,190,79,St. John's University
Art Collins,193,83,St. Thomas University
Don Collins,198,81,Illinois State University
Darwin Cook,190,83,University of Portland
Earl Cureton,206,95,University of Detroit Mercy
Monti Davis,201,92,Tennessee State University
James Donaldson,218,124,Washington State University
Larry Drew,185,77,University of Missouri
Ralph Drollinger,218,113,"University of California, Los Angeles"
John Duren,190,88,Georgetown University
Tony Fuller,193,81,Pepperdine University
Calvin Garrett,201,86,Oral Roberts University
