Player,height,weight,collage
Jack Phelan,196,88,DePaul University
Andy Phillip*,188,88,University of Illinois at Urbana-Champaign
Jim Pollard*,193,83,Stanford University
John Pritchard,206,99,Drake University
Les Pugh,201,86,Ohio State University
Don Putman,201,86,
George Ratkovicz,198,99,
Don Ray,196,86,Western Kentucky University
Chick Reiser,180,74,New York University
Arnie Risen*,206,90,Ohio State University
Tex Ritter,188,83,Eastern Kentucky University
Bill Roberts,206,95,University of Wyoming
Red Rocha,206,83,Oregon State University
Kenny Rollins,183,76,University of Kentucky
Bob Royer,178,70,Indiana State University
Jerry Rullo,178,74,Temple University
Ed Sadowski,196,108,Seton Hall University
Kenny Sailors,178,79,University of Wyoming
Pep Saul,188,83,Seton Hall University
Herm Schaefer,183,79,Indiana University
Marv Schatzman,196,90,Saint Louis University
Fred Schaus,196,92,West Virginia University
Dolph Schayes*,203,99,New York University
Milt Schoon,201,104,Valparaiso University
Howie Schultz,198,90,Hamline University
Dick Schulz,188,87,University of Wisconsin
Fred Scolari,178,81,University of San Francisco
Wayne See,190,86,Northern Arizona University
Glen Selbo,190,88,University of Wisconsin
Rollie Seltz,178,74,Hamline University
Jim Seminoff,188,86,University of Southern California
George Senesky,188,81,Saint Joseph's University
Paul Seymour,185,81,University of Toledo
Carl Shaeffer,190,83,University of Alabama
Howie Shannon,188,79,Kansas State University
Charley Shipp,185,90,Catholic University of America
Connie Simmons,203,100,
Belus Smawley,185,88,Appalachian State University
Jack Smiley,190,86,University of Illinois at Urbana-Champaign
Chips Sobek,183,81,University of Notre Dame
Odie Spears,196,92,Western Kentucky University
Art Spector,193,90,Villanova University
Ed Stanczak,185,83,
Gene Stump,188,83,DePaul University
Mike Todorovich,196,99,University of Wyoming
Jack Toomay,198,97,University of the Pacific
Bob Tough,183,83,St. John's University
Blackie Towery,193,95,Western Kentucky University
Dick Triptow,183,77,DePaul University
Butch Van,183,77,
Gene Vance,190,88,University of Illinois at Urbana-Champaign
Ernie Vandeweghe,190,88,Colgate University
Floyd Volker,193,92,University of Wyoming
Whitey Von,193,92,
Clint Wager,198,95,Saint Mary's University of Minnesota
Danny Wagner,183,77,University of Texas at Austin
Brady Walker,198,92,Brigham Young University
Paul Walther,188,72,University of Tennessee
Bobby Wanzer*,183,77,Seton Hall University
Murray Wier,175,70,University of Iowa
D.C. Wilcutt,175,70,
Bob Wood,175,70,Northern Illinois University
Max Zaslofsky,188,77,St. John's University
nan,,,nan
Paul Arizin*,193,86,Villanova University
Ed Beach,190,90,West Virginia University
Leon Blevins,188,72,University of Arizona
Ike Borsavage,203,99,Temple University
Art Burris,196,99,University of Tennessee
Gerry Calabrese,185,79,St. John's University
Cal Christensen,196,95,University of Toledo
Nat Clifton*,198,99,Xavier University of Louisiana
Chuck Cooper,196,95,Duquesne University
Bob Cousy*,185,79,College of the Holy Cross
Hank DeZonie,198,97,Clark Atlanta University
Bob Donham,188,86,Ohio State University
Ray Ellefson,203,104,West Texas A&M University
Larry Foust,206,97,La Salle University
Ed Gayda,193,95,Washington State University
Joe Hutton,185,77,Hamline University
Bob Lavoy,201,83,Western Kentucky University
Earl Lloyd*,196,90,West Virginia State University
Don Lofgran,196,90,University of San Francisco
Norm Mager,196,83,City College of New York
Joe McNamee,198,95,University of San Francisco
Chuck Mrazovich,196,83,Eastern Kentucky University
Ken Murray,188,86,St. Bonaventure University
Tommy O'Keefe,188,83,Georgetown University
Kevin O'Shea,188,79,University of Notre Dame
Don Rehfeldt,201,95,University of Wisconsin
Jim Riffey,193,90,Tulane University
Alan Sawyer,196,88,"University of California, Los Angeles"
Herb Scherer,206,96,Long Island University
Dick Schnittker,196,90,Ohio State University
Bill Sharman*,185,79,University of Southern California
Don Barksdale*,198,90,"University of California, Los Angeles"
Elmer Behnke,201,95,Bradley University
Stan Brown,190,90,
Ed Dahler,196,86,Duquesne University
Nate DeLong,198,99,University of Wisconsin-River Falls
Dick Dickey,185,79,North Carolina State University
Jake Fendley,183,81,Northwestern University
Jerry Fowler,203,104,University of Missouri
Lew Hitch,203,90,Kansas State University
Mel Hutchins,198,90,Brigham Young University
Neil Johnston*,203,95,Ohio State University
Jack Kiley,185,77,Syracuse University
George King,183,79,University of Charleston
John McConathy,196,88,Northwestern State University
Alfred McGuire*,188,81,St. John's University
Dave Minor,188,83,"University of California, Los Angeles"
Ralph O'Brien,175,72,Butler University
Wally Osterkorn,196,97,University of Illinois at Urbana-Champaign
Mel Payton,193,83,Tulane University
John Pilch,190,83,University of Wyoming
Ray Ragelis,193,92,Northwestern University
Sam Ranzino,185,83,North Carolina State University
John Rennicke,188,83,Drake University
Don Savage,190,92,LeMoyne College
Chuck Share,211,106,Bowling Green State University
Zeke Sinicola,178,74,Niagara University
Whitey Skoog,180,81,University of Minnesota
Jim Slaughter,211,95,University of South Carolina
Bill Tosheff,185,79,Indiana University
Bob Wilson,193,83,West Virginia State University
Jim Baechtold,193,92,Eastern Kentucky University
Jim Brasco,185,77,New York University
Dick Bunt,183,77,New York University
Gene Conley,203,102,Washington State University
Pete Darcey,201,98,Oklahoma State University
Blaine Denning,188,79,Lawrence Technological University
Danny Finn,185,83,St. John's University
Dick Groat,180,81,Duke University
Don Hanrahan,201,90,Loyola University of Chicago
Don Henriksen,201,102,University of California
Jim Holstein,190,81,University of Cincinnati
Bob Lochmueller,196,83,University of Louisville
Mo Mahoney,188,92,Brown University
Al Masino,178,78,Canisius College
Jack McCloskey,188,86,University of Pennsylvania
Bucky McConnell,178,77,Marshall University
George McLeod,196,90,Texas Christian University
Jack McMahon,185,83,St. John's University
Monk Meineke,201,94,University of Dayton
Eddie Miller,203,102,Syracuse University
Bill Mlkvy,193,86,Temple University
Jim Mooney,196,97,Villanova University
Bob Naber,190,83,University of Louisville
John O'Boyle,188,83,Colorado State University
Mike O'Neill,190,95,University of California
Claude Overton,188,88,East Central University
Ralph Polson,201,90,Whitworth
Bob Priddy,190,86,New Mexico State University
Moe Radovich,183,72,University of Wyoming
Sherwin Raiken,188,83,Villanova University
Gene Rhodes,185,77,Western Kentucky University
Dick Surhoff,193,95,Long Island University
Mark Workman,206,97,West Virginia University
Zeke Zawoluk,201,97,St. John's University
Don Ackerman,183,83,Long Island University
Don Asmonga,188,83,Alliance College
