1610612740	1629117	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	0	""	""
1610612741	203943	3.0	4.0	0.0	1.0	6.0	9.0	2.0	6.0	8.0	0.0	0.0	1.0	2.0	2.0	12.0	3.0	3.0	4.0	0.0	1.0	6.0	9.0	2.0	6.0	8.0	0.0	0.0	1.0	2.0	2.0	12.0	3.0	1	686.0	686.0
1610612755	201143	4.285714285714286	9.523809523809524	1.4761904761904763	4.071428571428571	0.9285714285714286	1.1904761904761905	1.5238095238095237	5.4523809523809526	6.976190476190476	4.023809523809524	0.5714285714285714	0.8571428571428571	1.1904761904761905	2.0952380952380953	10.976190476190476	0.21428571428571427	180.0	400.0	62.0	171.0	39.0	50.0	64.0	229.0	293.0	169.0	24.0	36.0	50.0	88.0	461.0	9.0	42	1777.452380952381	74653.0
1610612764	101133	2.5	5.3076923076923075	0.07692307692307693	0.5769230769230769	1.6538461538461537	2.576923076923077	1.8076923076923077	3.730769230769231	5.538461538461538	1.4615384615384615	0.8461538461538461	1.0384615384615385	1.0769230769230769	3.0	6.730769230769231	-3.8461538461538463	65.0	138.0	2.0	15.0	43.0	67.0	47.0	97.0	144.0	38.0	22.0	27.0	28.0	78.0	175.0	-100.0	26	1274.6923076923076	33142.0
