1610612745	202067	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	0	""	""
1610612757	2037	4.7368421052631575	12.280701754385966	1.3508771929824561	4.368421052631579	3.1578947368421053	3.4210526315789473	0.2631578947368421	1.631578947368421	1.894736842105263	3.175438596491228	0.8596491228070176	0.24561403508771928	1.8245614035087718	1.1754385964912282	13.982456140350877	-0.2631578947368421	270.0	700.0	77.0	249.0	180.0	195.0	15.0	93.0	108.0	181.0	49.0	14.0	104.0	67.0	797.0	-15.0	57	1615.6842105263158	92094.0
1610612764	202348	5.5	13.739583333333334	1.3020833333333333	4.322916666666667	2.5	3.1041666666666665	0.8020833333333334	2.25	3.0520833333333335	3.5520833333333335	0.8854166666666666	0.09375	2.2916666666666665	1.65625	14.802083333333334	-4.1022727272727275	528.0	1319.0	125.0	415.0	240.0	298.0	77.0	216.0	293.0	341.0	85.0	9.0	220.0	159.0	1421.0	-361.0	96	1548.4895833333333	148655.0
1610612765	201041	1.1785714285714286	3.392857142857143	0.14285714285714285	0.4642857142857143	0.5	0.7857142857142857	0.25	0.6785714285714286	0.9285714285714286	2.0714285714285716	0.6428571428571429	0.03571428571428571	1.1785714285714286	1.0357142857142858	3.0	-2.392857142857143	33.0	95.0	4.0	13.0	14.0	22.0	7.0	19.0	26.0	58.0	18.0	1.0	33.0	29.0	84.0	-67.0	28	765.5357142857143	21435.0
1610612766	1894	4.344827586206897	11.482758620689655	0.7241379310344828	1.9655172413793103	5.827586206896552	6.793103448275862	0.5517241379310345	3.0	3.5517241379310347	1.2413793103448276	0.7241379310344828	0.0	1.6896551724137931	2.4482758620689653	15.241379310344827	-9.0	126.0	333.0	21.0	57.0	169.0	197.0	16.0	87.0	103.0	36.0	21.0	0.0	49.0	71.0	442.0	-261.0	29	1608.3793103448277	46643.0
1610612762	101139	3.2115384615384617	8.326923076923077	0.7884615384615384	2.6346153846153846	1.9038461538461537	2.326923076923077	0.4807692307692308	1.6538461538461537	2.1346153846153846	1.2884615384615385	0.7884615384615384	0.3269230769230769	0.8846153846153846	2.1346153846153846	9.115384615384615	1.0384615384615385	167.0	433.0	41.0	137.0	99.0	121.0	25.0	86.0	111.0	67.0	41.0	17.0	46.0	111.0	474.0	54.0	52	1234.2884615384614	64183.0
